2021-02-26 09:04:39,046 INFO  [restartedMain] com.cg.shoppingcart.product.ProductApplication : Starting ProductApplication on LIN20002656 with PID 23964 (C:\Users\pparaska\CaseStudy\product\target\classes started by pparaska in C:\Users\pparaska\CaseStudy\product)
2021-02-26 09:04:39,071 INFO  [restartedMain] com.cg.shoppingcart.product.ProductApplication : No active profile set, falling back to default profiles: default
2021-02-26 09:04:39,498 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-02-26 09:04:39,498 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-02-26 09:04:41,332 INFO  [restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate : Bootstrapping Spring Data repositories in DEFAULT mode.
2021-02-26 09:04:41,615 INFO  [restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 268ms. Found 2 repository interfaces.
2021-02-26 09:04:42,681 INFO  [restartedMain] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$fde79e63] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-02-26 09:04:44,196 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port(s): 8082 (http)
2021-02-26 09:04:44,305 INFO  [restartedMain] org.apache.catalina.core.StandardService : Starting service [Tomcat]
2021-02-26 09:04:44,307 INFO  [restartedMain] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.14]
2021-02-26 09:04:44,325 INFO  [restartedMain] org.apache.catalina.core.AprLifecycleListener : The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\OpenJDK12\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:/Program Files/OpenJDK12/Bin/server;C:/Program Files/OpenJDK12/Bin;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\Program Files\OpenJDK12\Bin;C:\Program Files\Intel\WiFi\bin\;C:\Program Files\Common Files\Intel\WirelessCommon\;C:\Program Files (x86)\PuTTY\;C:\Program Files\nodejs\;C:\Users\pparaska\AppData\Local\Programs\Python\Python39\Scripts\;C:\Users\pparaska\AppData\Local\Programs\Python\Python39\;C:\Users\pparaska\AppData\Local\Microsoft\WindowsApps;C:\Users\pparaska\AppData\Local\Programs\Git\cmd;C:\jdk1.8.0_31\bin;C:\Users\pparaska\softwares\apache-maven-3.2.5\bin;C:\Users\pparaska\AppData\Local\Programs\Python\Python39\pip\pip.ini.;C:\Users\pparaska\AppData\Roaming\pip\pip.ini;C:\Users\pparaska\AppData\Local\Programs\Microsoft VS Code\bin;C:\ProgramData\Applications\nodejs;;C:\Users\pparaska\Downloads\spring-tool-suite-4-4.7.1.RELEASE-e4.16.0-win32.win32.x86_64.self-extracting\contents\sts-4.7.1.RELEASE;;.]
2021-02-26 09:04:45,211 INFO  [restartedMain] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2021-02-26 09:04:45,520 INFO  [restartedMain] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Starting...
2021-02-26 09:04:51,426 INFO  [restartedMain] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Start completed.
2021-02-26 09:04:55,437 INFO  [restartedMain] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-02-26 09:04:55,583 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer : LiveReload server is running on port 35729
2021-02-26 09:04:57,293 WARN  [restartedMain] org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-02-26 09:04:57,893 INFO  [restartedMain] org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor : Initializing ExecutorService 'applicationTaskExecutor'
2021-02-26 09:04:58,426 INFO  [restartedMain] springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper : Context refreshed
2021-02-26 09:04:58,496 INFO  [restartedMain] springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2021-02-26 09:04:58,525 INFO  [restartedMain] springfox.documentation.spring.web.scanners.ApiListingReferenceScanner : Scanning for api listing references
2021-02-26 09:04:59,022 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat started on port(s): 8082 (http) with context path ''
2021-02-26 09:04:59,032 INFO  [restartedMain] com.cg.shoppingcart.product.ProductApplication : Started ProductApplication in 20.559 seconds (JVM running for 25.446)
2021-02-26 09:18:41,891 INFO  [RMI TCP Connection(24)-127.0.0.1] org.springframework.boot.admin.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested.
2021-02-26 09:18:41,908 INFO  [RMI TCP Connection(24)-127.0.0.1] org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor : Shutting down ExecutorService 'applicationTaskExecutor'
2021-02-26 09:18:41,919 INFO  [RMI TCP Connection(24)-127.0.0.1] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2021-02-26 09:18:41,932 INFO  [RMI TCP Connection(24)-127.0.0.1] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown initiated...
2021-02-26 09:18:42,053 INFO  [RMI TCP Connection(24)-127.0.0.1] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown completed.
